participant_id,sequence_id,order_pos,task
P024,4,2,FullcrossNoTimelimited
P024,4,3,FulltickTimelimited
P024,4,4,PartialcrossTimelimited
P025,1,1,FullcrossNoTimelimited
P025,1,2,FulltickTimelimited
P025,1,3,PartialcrossTimelimited
P025,1,4,PartialtickNoTimelimited
P026,2,1,FulltickTimelimited
P026,2,2,PartialcrossTimelimited
P026,2,3,PartialtickNoTimelimited
P026,2,4,FullcrossNoTimelimited
P027,3,1,PartialcrossTimelimited
P027,3,2,PartialtickNoTimelimited
P027,3,3,FullcrossNoTimelimited
P027,3,4,FulltickTimelimited
P028,4,1,PartialtickNoTimelimited
P028,4,2,FullcrossNoTimelimited
P028,4,3,FulltickTimelimited
P028,4,4,PartialcrossTimelimited
P029,1,1,FullcrossNoTimelimited
P029,1,2,FulltickTimelimited
P029,1,3,PartialcrossTimelimited
P029,1,4,PartialtickNoTimelimited
P030,2,1,FulltickTimelimited
P030,2,2,PartialcrossTimelimited
P030,2,3,PartialtickNoTimelimited
P030,2,4,FullcrossNoTimelimited
P031,3,1,PartialcrossTimelimited
P031,3,2,PartialtickNoTimelimited
P031,3,3,FullcrossNoTimelimited
P031,3,4,FulltickTimelimited
P032,4,1,PartialtickNoTimelimited
P032,4,2,FullcrossNoTimelimited
P032,4,3,FulltickTimelimited
P032,4,4,PartialcrossTimelimited
P033,1,1,FullcrossNoTimelimited
P033,1,2,FulltickTimelimited
P033,1,3,PartialcrossTimelimited
P033,1,4,PartialtickNoTimelimited
P034,2,1,FulltickTimelimited
P034,2,2,PartialcrossTimelimited
P034,2,3,PartialtickNoTimelimited
P034,2,4,FullcrossNoTimelimited
P035,3,1,PartialcrossTimelimited
P035,3,2,PartialtickNoTimelimited
P035,3,3,FullcrossNoTimelimited
P035,3,4,FulltickTimelimited
P036,4,1,PartialtickNoTimelimited
P036,4,2,FullcrossNoTimelimited
P036,4,3,FulltickTimelimited
P036,4,4,PartialcrossTimelimited
P037,1,1,FullcrossNoTimelimited
P037,1,2,FulltickTimelimited
P037,1,3,PartialcrossTimelimited
P037,1,4,PartialtickNoTimelimited
P038,2,1,FulltickTimelimited
P038,2,2,PartialcrossTimelimited
P038,2,3,PartialtickNoTimelimited
P038,2,4,FullcrossNoTimelimited
P039,3,1,PartialcrossTimelimited
P039,3,2,PartialtickNoTimelimited
P039,3,3,FullcrossNoTimelimited
P039,3,4,FulltickTimelimited
P040,4,1,PartialtickNoTimelimited
P040,4,2,FullcrossNoTimelimited
P040,4,3,FulltickTimelimited
P040,4,4,PartialcrossTimelimited
P041,1,1,FullcrossNoTimelimited
P041,1,2,FulltickTimelimited
P041,1,3,PartialcrossTimelimited
P041,1,4,PartialtickNoTimelimited
P042,2,1,FulltickTimelimited
P042,2,2,PartialcrossTimelimited
P042,2,3,PartialtickNoTimelimited
P042,2,4,FullcrossNoTimelimited
P043,3,1,PartialcrossTimelimited
P043,3,2,PartialtickNoTimelimited
P043,3,3,FullcrossNoTimelimited
P043,3,4,FulltickTimelimited
P044,4,1,PartialtickNoTimelimited
P044,4,2,FullcrossNoTimelimited
P044,4,3,FulltickTimelimited
P044,4,4,PartialcrossTimelimited
P045,1,1,FullcrossNoTimelimited
P045,1,2,FulltickTimelimited
P045,1,3,PartialcrossTimelimited
P045,1,4,PartialtickNoTimelimited
P046,2,1,FulltickTimelimited
P046,2,2,PartialcrossTimelimited
P046,2,3,PartialtickNoTimelimited
P046,2,4,FullcrossNoTimelimited
P047,3,1,PartialcrossTimelimited
P047,3,2,PartialtickNoTimelimited
P047,3,3,FullcrossNoTimelimited
P047,3,4,FulltickTimelimited
P048,4,1,PartialtickNoTimelimited
P048,4,2,FullcrossNoTimelimited
P048,4,3,FulltickTimelimited
P048,4,4,PartialcrossTimelimited
P049,1,1,FullcrossNoTimelimited
P049,1,2,FulltickTimelimited
P049,1,3,PartialcrossTimelimited
P049,1,4,PartialtickNoTimelimited
P050,2,1,FulltickTimelimited
P050,2,2,PartialcrossTimelimited
P050,2,3,PartialtickNoTimelimited
P050,2,4,FullcrossNoTimelimited
P051,3,1,PartialcrossTimelimited
P051,3,2,PartialtickNoTimelimited
P051,3,3,FullcrossNoTimelimited
P051,3,4,FulltickTimelimited
P052,4,1,PartialtickNoTimelimited
P052,4,2,FullcrossNoTimelimited
P052,4,3,FulltickTimelimited
P052,4,4,PartialcrossTimelimited
P053,1,1,FullcrossNoTimelimited
P053,1,2,FulltickTimelimited
P053,1,3,PartialcrossTimelimited
P053,1,4,PartialtickNoTimelimited
P054,2,1,FulltickTimelimited
P054,2,2,PartialcrossTimelimited
P054,2,3,PartialtickNoTimelimited
P054,2,4,FullcrossNoTimelimited
P055,3,1,PartialcrossTimelimited
P055,3,2,PartialtickNoTimelimited
P055,3,3,FullcrossNoTimelimited
P055,3,4,FulltickTimelimited
P056,4,1,PartialtickNoTimelimited
P056,4,2,FullcrossNoTimelimited
P056,4,3,FulltickTimelimited
P056,4,4,PartialcrossTimelimited
P057,1,1,FullcrossNoTimelimited
P057,1,2,FulltickTimelimited
P057,1,3,PartialcrossTimelimited
P057,1,4,PartialtickNoTimelimited
P058,2,1,FulltickTimelimited
P058,2,2,PartialcrossTimelimited
P058,2,3,PartialtickNoTimelimited
P058,2,4,FullcrossNoTimelimited
P059,3,1,PartialcrossTimelimited
P059,3,2,PartialtickNoTimelimited
P059,3,3,FullcrossNoTimelimited
P059,3,4,FulltickTimelimited
P060,4,1,PartialtickNoTimelimited
P060,4,2,FullcrossNoTimelimited
P060,4,3,FulltickTimelimited
P060,4,4,PartialcrossTimelimited
P061,1,1,FullcrossNoTimelimited
P061,1,2,FulltickTimelimited
P061,1,3,PartialcrossTimelimited
P061,1,4,PartialtickNoTimelimited
P062,2,1,FulltickTimelimited
P062,2,2,PartialcrossTimelimited
P062,2,3,PartialtickNoTimelimited
P062,2,4,FullcrossNoTimelimited
P063,3,1,PartialcrossTimelimited
P063,3,2,PartialtickNoTimelimited
P063,3,3,FullcrossNoTimelimited
P063,3,4,FulltickTimelimited
P064,4,1,PartialtickNoTimelimited
P064,4,2,FullcrossNoTimelimited
P064,4,3,FulltickTimelimited
P064,4,4,PartialcrossTimelimited
P065,1,1,FullcrossNoTimelimited
P065,1,2,FulltickTimelimited
P065,1,3,PartialcrossTimelimited
P065,1,4,PartialtickNoTimelimited
P066,2,1,FulltickTimelimited
P066,2,2,PartialcrossTimelimited
P066,2,3,PartialtickNoTimelimited
P066,2,4,FullcrossNoTimelimited
P067,3,1,PartialcrossTimelimited
P067,3,2,PartialtickNoTimelimited
P067,3,3,FullcrossNoTimelimited
P067,3,4,FulltickTimelimited
P068,4,1,PartialtickNoTimelimited
P068,4,2,FullcrossNoTimelimited
P068,4,3,FulltickTimelimited
P068,4,4,PartialcrossTimelimited
P069,1,1,FullcrossNoTimelimited
P069,1,2,FulltickTimelimited
P069,1,3,PartialcrossTimelimited
P069,1,4,PartialtickNoTimelimited
P070,2,1,FulltickTimelimited
P070,2,2,PartialcrossTimelimited
P070,2,3,PartialtickNoTimelimited
P070,2,4,FullcrossNoTimelimited
P071,3,1,PartialcrossTimelimited
P071,3,2,PartialtickNoTimelimited
P071,3,3,FullcrossNoTimelimited
P071,3,4,FulltickTimelimited
P072,4,1,PartialtickNoTimelimited
P072,4,2,FullcrossNoTimelimited
P072,4,3,FulltickTimelimited
P072,4,4,PartialcrossTimelimited
P073,1,1,FullcrossNoTimelimited
P073,1,2,FulltickTimelimited
P073,1,3,PartialcrossTimelimited
P073,1,4,PartialtickNoTimelimited
P074,2,1,FulltickTimelimited
P074,2,2,PartialcrossTimelimited
P074,2,3,PartialtickNoTimelimited
P074,2,4,FullcrossNoTimelimited
P075,3,1,PartialcrossTimelimited
P075,3,2,PartialtickNoTimelimited
P075,3,3,FullcrossNoTimelimited
P075,3,4,FulltickTimelimited
P076,4,1,PartialtickNoTimelimited
P076,4,2,FullcrossNoTimelimited
P076,4,3,FulltickTimelimited
P076,4,4,PartialcrossTimelimited
P077,1,1,FullcrossNoTimelimited
P077,1,2,FulltickTimelimited
P077,1,3,PartialcrossTimelimited
P077,1,4,PartialtickNoTimelimited
P078,2,1,FulltickTimelimited
P078,2,2,PartialcrossTimelimited
P078,2,3,PartialtickNoTimelimited
P078,2,4,FullcrossNoTimelimited
P079,3,1,PartialcrossTimelimited
P079,3,2,PartialtickNoTimelimited
P079,3,3,FullcrossNoTimelimited
P079,3,4,FulltickTimelimited
P080,4,1,PartialtickNoTimelimited
P080,4,2,FullcrossNoTimelimited
P080,4,3,FulltickTimelimited
P080,4,4,PartialcrossTimelimited
P081,1,1,FullcrossNoTimelimited
P081,1,2,FulltickTimelimited
P081,1,3,PartialcrossTimelimited
P081,1,4,PartialtickNoTimelimited
P082,2,1,FulltickTimelimited
P082,2,2,PartialcrossTimelimited
P082,2,3,PartialtickNoTimelimited
P082,2,4,FullcrossNoTimelimited
P083,3,1,PartialcrossTimelimited
P083,3,2,PartialtickNoTimelimited
P083,3,3,FullcrossNoTimelimited
P083,3,4,FulltickTimelimited
P084,4,1,PartialtickNoTimelimited
P084,4,2,FullcrossNoTimelimited
P084,4,3,FulltickTimelimited
P084,4,4,PartialcrossTimelimited
P085,1,1,FullcrossNoTimelimited
P085,1,2,FulltickTimelimited
P085,1,3,PartialcrossTimelimited
P085,1,4,PartialtickNoTimelimited
P086,2,1,FulltickTimelimited
P086,2,2,PartialcrossTimelimited
P086,2,3,PartialtickNoTimelimited
P086,2,4,FullcrossNoTimelimited
P087,3,1,PartialcrossTimelimited
P087,3,2,PartialtickNoTimelimited
P087,3,3,FullcrossNoTimelimited
P087,3,4,FulltickTimelimited
P088,4,1,PartialtickNoTimelimited
P088,4,2,FullcrossNoTimelimited
P088,4,3,FulltickTimelimited
P088,4,4,PartialcrossTimelimited
P089,1,1,FullcrossNoTimelimited
P089,1,2,FulltickTimelimited
P089,1,3,PartialcrossTimelimited
P089,1,4,PartialtickNoTimelimited
P090,2,1,FulltickTimelimited
P090,2,2,PartialcrossTimelimited
P090,2,3,PartialtickNoTimelimited
P090,2,4,FullcrossNoTimelimited
P091,3,1,PartialcrossTimelimited
P091,3,2,PartialtickNoTimelimited
P091,3,3,FullcrossNoTimelimited
P091,3,4,FulltickTimelimited
P092,4,1,PartialtickNoTimelimited
P092,4,2,FullcrossNoTimelimited
P092,4,3,FulltickTimelimited
P092,4,4,PartialcrossTimelimited
P093,1,1,FullcrossNoTimelimited
P093,1,2,FulltickTimelimited
P093,1,3,PartialcrossTimelimited
P093,1,4,PartialtickNoTimelimited
P094,2,1,FulltickTimelimited
P094,2,2,PartialcrossTimelimited
P094,2,3,PartialtickNoTimelimited
P094,2,4,FullcrossNoTimelimited
P095,3,1,PartialcrossTimelimited
P095,3,2,PartialtickNoTimelimited
P095,3,3,FullcrossNoTimelimited
P095,3,4,FulltickTimelimited
P096,4,1,PartialtickNoTimelimited
P096,4,2,FullcrossNoTimelimited
P096,4,3,FulltickTimelimited
P096,4,4,PartialcrossTimelimited
P097,1,1,FullcrossNoTimelimited
P097,1,2,FulltickTimelimited
P097,1,3,PartialcrossTimelimited
P097,1,4,PartialtickNoTimelimited
P098,2,1,FulltickTimelimited
P098,2,2,PartialcrossTimelimited
P098,2,3,PartialtickNoTimelimited
P098,2,4,FullcrossNoTimelimited
P099,3,1,PartialcrossTimelimited
P099,3,2,PartialtickNoTimelimited
P099,3,3,FullcrossNoTimelimited
P099,3,4,FulltickTimelimited
P100,4,1,PartialtickNoTimelimited
P100,4,2,FullcrossNoTimelimited
P100,4,3,FulltickTimelimited
P100,4,4,PartialcrossTimelimited
P101,1,1,FullcrossNoTimelimited
P101,1,2,FulltickTimelimited
P101,1,3,PartialcrossTimelimited
P101,1,4,PartialtickNoTimelimited
P102,2,1,FulltickTimelimited
P102,2,2,PartialcrossTimelimited
P102,2,3,PartialtickNoTimelimited
P102,2,4,FullcrossNoTimelimited
P103,3,1,PartialcrossTimelimited
P103,3,2,PartialtickNoTimelimited
P103,3,3,FullcrossNoTimelimited
P103,3,4,FulltickTimelimited
P104,4,1,PartialtickNoTimelimited
P104,4,2,FullcrossNoTimelimited
P104,4,3,FulltickTimelimited
P104,4,4,PartialcrossTimelimited
P105,1,1,FullcrossNoTimelimited
P105,1,2,FulltickTimelimited
P105,1,3,PartialcrossTimelimited
P105,1,4,PartialtickNoTimelimited
P106,2,1,FulltickTimelimited
P106,2,2,PartialcrossTimelimited
P106,2,3,PartialtickNoTimelimited
P106,2,4,FullcrossNoTimelimited
P107,3,1,PartialcrossTimelimited
P107,3,2,PartialtickNoTimelimited
P107,3,3,FullcrossNoTimelimited
P107,3,4,FulltickTimelimited
P108,4,1,PartialtickNoTimelimited
P108,4,2,FullcrossNoTimelimited
P108,4,3,FulltickTimelimited
P108,4,4,PartialcrossTimelimited
P109,1,1,FullcrossNoTimelimited
P109,1,2,FulltickTimelimited
P109,1,3,PartialcrossTimelimited
P109,1,4,PartialtickNoTimelimited
P110,2,1,FulltickTimelimited
P110,2,2,PartialcrossTimelimited
P110,2,3,PartialtickNoTimelimited
P110,2,4,FullcrossNoTimelimited
P111,3,1,PartialcrossTimelimited
P111,3,2,PartialtickNoTimelimited
P111,3,3,FullcrossNoTimelimited
P111,3,4,FulltickTimelimited
P112,4,1,PartialtickNoTimelimited
P112,4,2,FullcrossNoTimelimited
P112,4,3,FulltickTimelimited
P112,4,4,PartialcrossTimelimited
P113,1,1,FullcrossNoTimelimited
P113,1,2,FulltickTimelimited
P113,1,3,PartialcrossTimelimited
P113,1,4,PartialtickNoTimelimited
P114,2,1,FulltickTimelimited
P114,2,2,PartialcrossTimelimited
P114,2,3,PartialtickNoTimelimited
P114,2,4,FullcrossNoTimelimited
P115,3,1,PartialcrossTimelimited
P115,3,2,PartialtickNoTimelimited
P115,3,3,FullcrossNoTimelimited
P115,3,4,FulltickTimelimited
P116,4,1,PartialtickNoTimelimited
P116,4,2,FullcrossNoTimelimited
P116,4,3,FulltickTimelimited
P116,4,4,PartialcrossTimelimited
P117,1,1,FullcrossNoTimelimited
P117,1,2,FulltickTimelimited
P117,1,3,PartialcrossTimelimited
P117,1,4,PartialtickNoTimelimited
P118,2,1,FulltickTimelimited
P118,2,2,PartialcrossTimelimited
P118,2,3,PartialtickNoTimelimited
P118,2,4,FullcrossNoTimelimited
P119,3,1,PartialcrossTimelimited
P119,3,2,PartialtickNoTimelimited
P119,3,3,FullcrossNoTimelimited
P119,3,4,FulltickTimelimited
P120,4,1,PartialtickNoTimelimited
P120,4,2,FullcrossNoTimelimited
P120,4,3,FulltickTimelimited
P120,4,4,PartialcrossTimelimited
