draw,panel,level,value
50,Overall Feedback,Full,0.6985264640821796
51,Overall Feedback,Full,0.7672147321323596
52,Overall Feedback,Full,1.3238873008496814
53,Overall Feedback,Full,0.6963040097851692
54,Overall Feedback,Full,1.1257642949728601
55,Overall Feedback,Full,0.12221625168819662
56,Overall Feedback,Full,0.9358856670210922
57,Overall Feedback,Full,1.1674909371281663
58,Overall Feedback,Full,0.9354546922128814
59,Overall Feedback,Full,0.865815505882457
60,Overall Feedback,Full,0.7212349415959247
61,Overall Feedback,Full,0.9493657373486434
62,Overall Feedback,Full,0.6902221683856725
63,Overall Feedback,Full,0.45003074785874236
64,Overall Feedback,Full,0.5603462436923256
65,Overall Feedback,Full,0.8113625476261798
66,Overall Feedback,Full,1.7021993615386357
67,Overall Feedback,Full,1.4881848848577348
68,Overall Feedback,Full,0.8040021085198595
69,Overall Feedback,Full,1.1527509384291283
70,Overall Feedback,Full,0.7472556823161082
71,Overall Feedback,Full,0.8474077710271383
72,Overall Feedback,Full,1.6184134862607575
73,Overall Feedback,Full,0.823100586897303
74,Overall Feedback,Full,0.9261084199494697
75,Overall Feedback,Full,1.1429252018544924
76,Overall Feedback,Full,0.2286309198878619
77,Overall Feedback,Full,0.8160756557933322
78,Overall Feedback,Full,0.48016035621007197
79,Overall Feedback,Full,0.7707759114027118
80,Overall Feedback,Full,0.6190237826795286
81,Overall Feedback,Full,0.5740586395150353
82,Overall Feedback,Full,0.9197921980114091
83,Overall Feedback,Full,1.1395351866832775
84,Overall Feedback,Full,0.5981868352462083
85,Overall Feedback,Full,0.3807847548408513
86,Overall Feedback,Full,0.5399567980617103
87,Overall Feedback,Full,0.5414995016660321
88,Overall Feedback,Full,1.0234662641720715
89,Overall Feedback,Full,0.6307893157126697
90,Overall Feedback,Full,0.3659661671693008
91,Overall Feedback,Full,1.0168147116647333
92,Overall Feedback,Full,0.884917523758769
93,Overall Feedback,Full,0.5786401917849681
94,Overall Feedback,Full,0.44458707155226035
95,Overall Feedback,Full,0.6533134464442534
96,Overall Feedback,Full,0.5089246746881372
97,Overall Feedback,Full,1.3363970808749956
98,Overall Feedback,Full,1.1436323612669732
99,Overall Feedback,Full,1.1741950559380203
100,Overall Feedback,Full,0.2722705268528399
101,Overall Feedback,Full,0.4244194331387461
102,Overall Feedback,Full,0.4473225343785063
103,Overall Feedback,Full,0.7849673251719449
104,Overall Feedback,Full,0.550627848208943
105,Overall Feedback,Full,0.8523154169096426
106,Overall Feedback,Full,0.5593836335800623
107,Overall Feedback,Full,0.5821727563009742
108,Overall Feedback,Full,0.6474124674408638
109,Overall Feedback,Full,1.3145241508656107
110,Overall Feedback,Full,0.5991361392440039
111,Overall Feedback,Full,0.6681555787837673
112,Overall Feedback,Full,0.5897462469513282
113,Overall Feedback,Full,0.4602420991765704
114,Overall Feedback,Full,1.0324939412937986
115,Overall Feedback,Full,0.6063577882952934
116,Overall Feedback,Full,0.4945021082909212
117,Overall Feedback,Full,1.0868428982592497
118,Overall Feedback,Full,0.7870478137355457
119,Overall Feedback,Full,0.6010496190385034
120,Overall Feedback,Full,0.8690544558965563
121,Overall Feedback,Full,0.9617465882103682
122,Overall Feedback,Full,0.9284236505195644
123,Overall Feedback,Full,0.6922553671084354
124,Overall Feedback,Full,0.7847531005444898
125,Overall Feedback,Full,0.832331595553405
126,Overall Feedback,Full,0.47867383339024433
127,Overall Feedback,Full,0.6306857201548183
128,Overall Feedback,Full,0.47223342748115604
129,Overall Feedback,Full,2.045460041289589
130,Overall Feedback,Full,0.5181900698658075
131,Overall Feedback,Full,0.5528038546401184
132,Overall Feedback,Full,0.5580551447459942
133,Overall Feedback,Full,1.322392411921815
134,Overall Feedback,Full,0.4496153748906333
135,Overall Feedback,Full,0.3073868543149327
136,Overall Feedback,Full,0.3524198588214538
137,Overall Feedback,Full,1.1116704430489066
138,Overall Feedback,Full,0.5670242987057186
139,Overall Feedback,Full,0.6803005168291857
140,Overall Feedback,Full,1.1173406990733818
141,Overall Feedback,Full,0.22536755292510505
142,Overall Feedback,Full,1.3211028758005046
143,Overall Feedback,Full,0.6190598755229474
144,Overall Feedback,Full,1.2475323295278027
145,Overall Feedback,Full,0.23342851743691878
146,Overall Feedback,Full,0.9762414891069652
147,Overall Feedback,Full,1.330561250060616
148,Overall Feedback,Full,1.189703908942934
149,Overall Feedback,Full,0.8565768495831273
150,Overall Feedback,Full,1.2371797820598123
151,Overall Feedback,Full,0.5203398816915815
152,Overall Feedback,Full,1.0135368157428952
153,Overall Feedback,Full,1.0748444508578379
154,Overall Feedback,Full,0.826246160478195
155,Overall Feedback,Full,1.428444640123633
156,Overall Feedback,Full,0.6698994069128812
157,Overall Feedback,Full,1.0768609712623993
158,Overall Feedback,Full,0.293542235042981
159,Overall Feedback,Full,1.1901309886442604
160,Overall Feedback,Full,0.5228546565944028
161,Overall Feedback,Full,0.971294239051165
162,Overall Feedback,Full,0.575896546524156
163,Overall Feedback,Full,0.611243633759614
164,Overall Feedback,Full,1.4787279617531808
165,Overall Feedback,Full,0.7409014308004709
166,Overall Feedback,Full,0.6046393838537777
167,Overall Feedback,Full,1.4112258814454928
168,Overall Feedback,Full,0.36728418781280614
169,Overall Feedback,Full,0.8110914879415614
170,Overall Feedback,Full,1.1339326873505324
171,Overall Feedback,Full,0.8451052927347019
172,Overall Feedback,Full,0.9410379778373773
173,Overall Feedback,Full,1.0260509619168743
174,Overall Feedback,Full,0.8090345224140806
175,Overall Feedback,Full,0.8640155846445111
176,Overall Feedback,Full,0.5339492491208296
177,Overall Feedback,Full,0.4423254918876442
178,Overall Feedback,Full,1.2128791460681718
179,Overall Feedback,Full,0.8722380639657457
180,Overall Feedback,Full,0.25922348114118793
181,Overall Feedback,Full,0.4339621371535068
182,Overall Feedback,Full,0.868233667529594
183,Overall Feedback,Full,0.9903967093040357
184,Overall Feedback,Full,0.8832600161109471
185,Overall Feedback,Full,0.24444279470186442
186,Overall Feedback,Full,0.6483182289021842
187,Overall Feedback,Full,1.0492124665083409
188,Overall Feedback,Full,1.2639100271673773
189,Overall Feedback,Full,0.6721166259871942
190,Overall Feedback,Full,0.4067983133923822
191,Overall Feedback,Full,0.3463224826500516
192,Overall Feedback,Full,0.7173200046108813
193,Overall Feedback,Full,0.8398400916405802
194,Overall Feedback,Full,0.8194641692890701
195,Overall Feedback,Full,0.4253210378753079
196,Overall Feedback,Full,0.7666684713578145
197,Overall Feedback,Full,0.6841811216219252
198,Overall Feedback,Full,0.5146843604022234
199,Overall Feedback,Full,0.3596728771607832
200,Overall Feedback,Full,0.290246550081911
201,Overall Feedback,Full,1.1166683551418362
202,Overall Feedback,Full,0.4917032608587132
203,Overall Feedback,Full,0.7877896296413136
204,Overall Feedback,Full,0.1639446297496031
205,Overall Feedback,Full,1.0440446841434208
206,Overall Feedback,Full,0.78811859422902375
207,Overall Feedback,Full,1.1640586465687524
208,Overall Feedback,Full,0.6398909031490183
209,Overall Feedback,Full,1.4216056561803687
210,Overall Feedback,Full,0.7732041667333623
211,Overall Feedback,Full,0.5412229599241949
212,Overall Feedback,Full,0.8864065902239321
213,Overall Feedback,Full,0.33394253724306333
214,Overall Feedback,Full,0.8694419985677896
215,Overall Feedback,Full,1.258739709721963
216,Overall Feedback,Full,0.33084960476580305
217,Overall Feedback,Full,1.3864414215642453
218,Overall Feedback,Full,0.9856928130358272
219,Overall Feedback,Full,0.8591063701435261
220,Overall Feedback,Full,0.7815899818588689
221,Overall Feedback,Full,1.7085180646095088
222,Overall Feedback,Full,2.1375516474965215
223,Overall Feedback,Full,0.8979213286934572
224,Overall Feedback,Full,0.7476221207708433
225,Overall Feedback,Full,1.1161579777118689
226,Overall Feedback,Full,-0.042632000849492466
227,Overall Feedback,Full,0.6829497690766311
228,Overall Feedback,Full,1.3655874452963253
229,Overall Feedback,Full,0.7923239039516384
230,Overall Feedback,Full,0.9220022311898866
231,Overall Feedback,Full,1.263301602702537
232,Overall Feedback,Full,0.23761803641627324
233,Overall Feedback,Full,0.370056049199438
234,Overall Feedback,Full,1.0582252120098434
235,Overall Feedback,Full,0.5637067626686965
236,Overall Feedback,Full,1.1541933745738406
237,Overall Feedback,Full,1.6587762089152236
238,Overall Feedback,Full,0.7607986561153798
239,Overall Feedback,Full,0.8161279491122947
240,Overall Feedback,Full,0.2756871322791798
241,Overall Feedback,Full,1.2192374715638654
242,Overall Feedback,Full,0.6228933261377877
243,Overall Feedback,Full,0.9706809907436558
244,Overall Feedback,Full,0.4244202264862216
245,Overall Feedback,Full,0.8298761317211436
246,Overall Feedback,Full,1.8892523074814527
247,Overall Feedback,Full,1.3098562466756762
248,Overall Feedback,Full,0.8561860200800472
249,Overall Feedback,Full,1.030085856425954
250,Overall Feedback,Full,0.5943279644563136
251,Overall Feedback,Full,0.33231520400026066
252,Overall Feedback,Full,0.7615835876600802
253,Overall Feedback,Full,0.5973257741125598
254,Overall Feedback,Full,0.8920374365057697
255,Overall Feedback,Full,0.18195542553539049
256,Overall Feedback,Full,0.7517667967345201
257,Overall Feedback,Full,0.4775662130511412
258,Overall Feedback,Full,1.1780110670461585
259,Overall Feedback,Full,1.3536881003499326
260,Overall Feedback,Full,0.7111258833216156
261,Overall Feedback,Full,1.1636412649966887
262,Overall Feedback,Full,0.8718046672533777
263,Overall Feedback,Full,1.0342471597561194
264,Overall Feedback,Full,1.1302963959340278
265,Overall Feedback,Full,0.7979561722502272
266,Overall Feedback,Full,0.6510442369878412
267,Overall Feedback,Full,0.5145256168480856
268,Overall Feedback,Full,0.5360404780662245
269,Overall Feedback,Full,0.8373454029993436
270,Overall Feedback,Full,0.801453561291322
271,Overall Feedback,Full,0.6945297665750378
272,Overall Feedback,Full,0.21392157967862854
273,Overall Feedback,Full,0.8348844529893831
274,Overall Feedback,Full,0.4087493694614349
275,Overall Feedback,Full,0.8105205844404073
276,Overall Feedback,Full,0.8682150908278445
277,Overall Feedback,Full,0.9193073280644082
278,Overall Feedback,Full,0.7666688033169771
279,Overall Feedback,Full,1.5173366183462755
280,Overall Feedback,Full,1.1093068861142323
281,Overall Feedback,Full,1.2041154121914868
282,Overall Feedback,Full,0.39696906912714625
283,Overall Feedback,Full,0.9806295217952792
284,Overall Feedback,Full,0.8986128897756548
285,Overall Feedback,Full,0.8624996550873346
286,Overall Feedback,Full,0.8814179637772617
287,Overall Feedback,Full,0.9885856218449844
288,Overall Feedback,Full,1.1719771779912698
289,Overall Feedback,Full,1.141678981041145
290,Overall Feedback,Full,1.4715944081507888
291,Overall Feedback,Full,1.0779588693982773
292,Overall Feedback,Full,0.7138512656553848
293,Overall Feedback,Full,0.3744203464533687
294,Overall Feedback,Full,0.6672955262101371
295,Overall Feedback,Full,0.7489554968849096
296,Overall Feedback,Full,0.6540519444738693
297,Overall Feedback,Full,0.3966380041112192
298,Overall Feedback,Full,0.6444970431422977
299,Overall Feedback,Full,0.7286757091852898
300,Overall Feedback,Full,1.0670254963102268
301,Overall Feedback,Full,0.5344145771778922
302,Overall Feedback,Full,1.1368166256326073
303,Overall Feedback,Full,1.3045387771538557
304,Overall Feedback,Full,0.5863916590613443
305,Overall Feedback,Full,0.45556328892977066
306,Overall Feedback,Full,0.5549529083334281
307,Overall Feedback,Full,0.6455485114259344
308,Overall Feedback,Full,0.5901451719977093
309,Overall Feedback,Full,0.2770673969562034
310,Overall Feedback,Full,0.6722738898097081
311,Overall Feedback,Full,1.241983818502793
312,Overall Feedback,Full,1.1012924325617448
313,Overall Feedback,Full,1.0480561801541737
314,Overall Feedback,Full,0.5717653658958086
315,Overall Feedback,Full,0.9880805975556486
316,Overall Feedback,Full,1.6151115257175441
317,Overall Feedback,Full,1.105337790013812
318,Overall Feedback,Full,0.8787204182796191
319,Overall Feedback,Full,0.35616088661493783
320,Overall Feedback,Full,0.9066384279401668
321,Overall Feedback,Full,0.7056838642230474
322,Overall Feedback,Full,0.49867692662178137
323,Overall Feedback,Full,0.9178992435576009
324,Overall Feedback,Full,0.34251363735491847
325,Overall Feedback,Full,0.5771524617345718
326,Overall Feedback,Full,0.43378360483449924
327,Overall Feedback,Full,0.4631763696382387
328,Overall Feedback,Full,0.8559834731084591
329,Overall Feedback,Full,1.2068371788126977
330,Overall Feedback,Full,0.7660419995984937
331,Overall Feedback,Full,0.3129046771952356
332,Overall Feedback,Full,1.4303569606558761
333,Overall Feedback,Full,1.1155951679487899
334,Overall Feedback,Full,0.3716774709036229
335,Overall Feedback,Full,0.320630830847262
336,Overall Feedback,Full,0.6224368604803643
337,Overall Feedback,Full,0.5297285923155393
338,Overall Feedback,Full,1.3491643393444905
339,Overall Feedback,Full,0.9211175729748097
340,Overall Feedback,Full,0.5241158911778816
341,Overall Feedback,Full,1.2807118276173086
342,Overall Feedback,Full,0.8704577860714365
343,Overall Feedback,Full,1.106471270204834
344,Overall Feedback,Full,0.6580303208804356
345,Overall Feedback,Full,0.5394569072948914
346,Overall Feedback,Full,1.192980703588905
347,Overall Feedback,Full,0.40396738058748577
348,Overall Feedback,Full,0.15447919019426856
349,Overall Feedback,Full,0.5998606632592295
350,Overall Feedback,Full,0.7488888785328758
351,Overall Feedback,Full,0.9006252644619566
352,Overall Feedback,Full,0.4973842124117898
353,Overall Feedback,Full,0.7851486918531888
354,Overall Feedback,Full,0.8681294670566087
355,Overall Feedback,Full,0.8429838509913797
356,Overall Feedback,Full,0.5643264827718083
357,Overall Feedback,Full,0.6509198035390974
358,Overall Feedback,Full,0.7044960872763866
359,Overall Feedback,Full,0.8441676311497831
360,Overall Feedback,Full,0.639898533154012
361,Overall Feedback,Full,1.2084043512342195
362,Overall Feedback,Full,0.6562818682847643
363,Overall Feedback,Full,0.8595520160744026
364,Overall Feedback,Full,0.6040563029917573
365,Overall Feedback,Full,0.8399536050147549
366,Overall Feedback,Full,0.48130995511439467
367,Overall Feedback,Full,1.1048187525849174
368,Overall Feedback,Full,0.9687263605278791
369,Overall Feedback,Full,0.7366365727550012
370,Overall Feedback,Full,0.6272440277297814
371,Overall Feedback,Full,0.6839399097665989
372,Overall Feedback,Full,0.2612598532076833
373,Overall Feedback,Full,0.22594053498832536
374,Overall Feedback,Full,1.13643918314239
375,Overall Feedback,Full,0.8464512375530959
376,Overall Feedback,Full,0.6844275650363534
377,Overall Feedback,Full,0.761526021981831
378,Overall Feedback,Full,1.211747338230524
379,Overall Feedback,Full,0.2768919976247057
380,Overall Feedback,Full,0.572322970136912
381,Overall Feedback,Full,0.827757150261601
382,Overall Feedback,Full,1.0297767349689728
383,Overall Feedback,Full,0.6283247629229576
384,Overall Feedback,Full,0.7926681905218594
385,Overall Feedback,Full,0.7609168432446762
386,Overall Feedback,Full,0.6381578936718533
387,Overall Feedback,Full,0.8394985034774497
388,Overall Feedback,Full,1.0308879952380734
389,Overall Feedback,Full,0.5132164999923472
390,Overall Feedback,Full,0.5513348824681306
391,Overall Feedback,Full,0.5643866379988193
392,Overall Feedback,Full,1.0892216030794115
393,Overall Feedback,Full,0.5716531722779319
394,Overall Feedback,Full,1.3574663102011937
395,Overall Feedback,Full,0.6821714183224303
396,Overall Feedback,Full,0.776011288709876
397,Overall Feedback,Full,0.5029593846110375
398,Overall Feedback,Full,0.7692030798552275
399,Overall Feedback,Full,0.44840684195408437
400,Overall Feedback,Full,0.7098255378509838
401,Overall Feedback,Full,0.8331617497053749
402,Overall Feedback,Full,0.6561813594390097
403,Overall Feedback,Full,1.5016942700141578
404,Overall Feedback,Full,0.7265989408566574
405,Overall Feedback,Full,1.2222424287305276
406,Overall Feedback,Full,1.2395540935428306
407,Overall Feedback,Full,0.23034501393788737
408,Overall Feedback,Full,1.0345532700828837
409,Overall Feedback,Full,0.811729471975196
410,Overall Feedback,Full,1.017254794117614
411,Overall Feedback,Full,0.9559916862063073
412,Overall Feedback,Full,1.0582257069066285
413,Overall Feedback,Full,1.0586328036896555
414,Overall Feedback,Full,0.6822126506791231
415,Overall Feedback,Full,0.4988155773517942
416,Overall Feedback,Full,1.193778754607506
417,Overall Feedback,Full,0.6474767383878306
418,Overall Feedback,Full,1.3995133174854397
419,Overall Feedback,Full,0.4789682491870419
420,Overall Feedback,Full,1.6151218841264297
421,Overall Feedback,Full,0.673343745046148
422,Overall Feedback,Full,0.6996708930117097
423,Overall Feedback,Full,0.7955781253413573
424,Overall Feedback,Full,0.35106729036693873
425,Overall Feedback,Full,0.4467630746533621
426,Overall Feedback,Full,0.8600416974747721
427,Overall Feedback,Full,0.9219290801065816
428,Overall Feedback,Full,1.3991545255807285
429,Overall Feedback,Full,0.36334933211599463
430,Overall Feedback,Full,0.7444094001156294
431,Overall Feedback,Full,0.4987442851249729
432,Overall Feedback,Full,0.4545854723239758
433,Overall Feedback,Full,1.4648161063272835
434,Overall Feedback,Full,0.5678087562372618
435,Overall Feedback,Full,0.3813651291417433
436,Overall Feedback,Full,0.47516920485122893
437,Overall Feedback,Full,0.5761679591745893
438,Overall Feedback,Full,0.9250674113824772
439,Overall Feedback,Full,0.46730149474260285
440,Overall Feedback,Full,0.35594793338787317
441,Overall Feedback,Full,0.44398891102283045
442,Overall Feedback,Full,0.6871680109149537
443,Overall Feedback,Full,1.184387214034324
444,Overall Feedback,Full,0.6920740261455148
445,Overall Feedback,Full,1.356246673736246
446,Overall Feedback,Full,1.2852135113755776
447,Overall Feedback,Full,0.5438118712301283
448,Overall Feedback,Full,0.530080399183314
449,Overall Feedback,Full,0.7123812983131462
450,Overall Feedback,Full,1.145075637221481
451,Overall Feedback,Full,0.8967452558931428
452,Overall Feedback,Full,1.3123539986439037
453,Overall Feedback,Full,0.7968365544090639
454,Overall Feedback,Full,1.0571858537163545
455,Overall Feedback,Full,0.27063859250973715
456,Overall Feedback,Full,1.3102037915491425
457,Overall Feedback,Full,0.9431820912513079
458,Overall Feedback,Full,1.0070994250133347
459,Overall Feedback,Full,0.5023123179624619
460,Overall Feedback,Full,0.7310869752840201
461,Overall Feedback,Full,0.3578245936652409
462,Overall Feedback,Full,0.40867567960679163
463,Overall Feedback,Full,0.4285473250419029
464,Overall Feedback,Full,1.7341786803306092
465,Overall Feedback,Full,1.0564934215459596
466,Overall Feedback,Full,0.7319640456750038
467,Overall Feedback,Full,0.611477390849081
468,Overall Feedback,Full,0.7373952942090478
469,Overall Feedback,Full,1.1363703388724529
470,Overall Feedback,Full,0.9472473987667388
471,Overall Feedback,Full,0.8171914908768683
472,Overall Feedback,Full,0.2570473709626078
473,Overall Feedback,Full,0.7099106009769182
474,Overall Feedback,Full,0.8612876380598172
475,Overall Feedback,Full,0.7045860800068957
476,Overall Feedback,Full,1.0196846095951178
477,Overall Feedback,Full,0.32218829410032734
478,Overall Feedback,Full,0.299965325748646
479,Overall Feedback,Full,0.600913476012582
480,Overall Feedback,Full,0.9268323480757933
481,Overall Feedback,Full,0.7375781102190553
482,Overall Feedback,Full,0.42776752952009905
483,Overall Feedback,Full,0.8012917388917309
484,Overall Feedback,Full,0.5600352613375863
485,Overall Feedback,Full,0.6505240725543985
486,Overall Feedback,Full,0.5390177696491552
487,Overall Feedback,Full,1.1455764608910541
488,Overall Feedback,Full,0.5988664102644254
489,Overall Feedback,Full,0.5424422512251308
490,Overall Feedback,Full,0.007204949214120197
491,Overall Feedback,Full,1.2441509865193934
492,Overall Feedback,Full,0.5133319554313646
493,Overall Feedback,Full,1.1301867461664126
494,Overall Feedback,Full,0.4438413801434019
495,Overall Feedback,Full,1.1889498171199857
496,Overall Feedback,Full,0.27847758444786075
497,Overall Feedback,Full,1.3011822691233157
498,Overall Feedback,Full,1.0188056840183515
499,Overall Feedback,Full,1.3939749668302446
500,Overall Feedback,Full,1.1044196181431325
501,Overall Feedback,Full,0.536716341791899
502,Overall Feedback,Full,0.6546639754707255
503,Overall Feedback,Full,0.7336339915874882
504,Overall Feedback,Full,0.7845032207649068
505,Overall Feedback,Full,0.20504139395785587
506,Overall Feedback,Full,0.5903134139749727
507,Overall Feedback,Full,0.7437955405785607
508,Overall Feedback,Full,1.0411499212752442
509,Overall Feedback,Full,0.9355564723326771
510,Overall Feedback,Full,0.9328793179956836
511,Overall Feedback,Full,0.48553821447294576
512,Overall Feedback,Full,0.24842174702628542
513,Overall Feedback,Full,0.1689149824440423
514,Overall Feedback,Full,0.5616138528444558
515,Overall Feedback,Full,0.7841811402181688
516,Overall Feedback,Full,0.7101524217836607
517,Overall Feedback,Full,0.7388523233233054
518,Overall Feedback,Full,1.0969134856107783
519,Overall Feedback,Full,0.627608621860199
520,Overall Feedback,Full,1.2869184698550176
521,Overall Feedback,Full,1.2846295902679639
522,Overall Feedback,Full,0.6437874297062275
523,Overall Feedback,Full,0.8806247671470091
524,Overall Feedback,Full,1.1854660225543237
525,Overall Feedback,Full,1.0367450086698635
526,Overall Feedback,Full,0.7167914941792263
527,Overall Feedback,Full,0.49867425861530096
528,Overall Feedback,Full,0.26304663979570125
529,Overall Feedback,Full,1.3396613758730807
530,Overall Feedback,Full,0.8498248900076644
531,Overall Feedback,Full,0.142440302822889
532,Overall Feedback,Full,0.9012066196188064
533,Overall Feedback,Full,0.6548524058924429
534,Overall Feedback,Full,0.4555054020654258
535,Overall Feedback,Full,0.7157404595437061
536,Overall Feedback,Full,0.5797436364329088
537,Overall Feedback,Full,0.7724265309093085
538,Overall Feedback,Full,0.3795592711824092
539,Overall Feedback,Full,0.3041522750317008
540,Overall Feedback,Full,0.632496902462799
541,Overall Feedback,Full,1.0124606187479286
542,Overall Feedback,Full,0.949031935951321
543,Overall Feedback,Full,0.735072332949313
544,Overall Feedback,Full,1.9962010977064346
545,Overall Feedback,Full,0.4798330626089232
546,Overall Feedback,Full,0.798810227654561
547,Overall Feedback,Full,0.6067107590517894
548,Overall Feedback,Full,0.6126218634437017
549,Overall Feedback,Full,1.3122193757085416
550,Overall Feedback,Full,0.3909328166095516
551,Overall Feedback,Full,1.1087080391462278
552,Overall Feedback,Full,0.6318207651229961
553,Overall Feedback,Full,1.6510228870756327
554,Overall Feedback,Full,0.5179969133036391
555,Overall Feedback,Full,1.3956522783355327
556,Overall Feedback,Full,0.9889484811491468
557,Overall Feedback,Full,0.21228158462780655
558,Overall Feedback,Full,0.9384343271922968
559,Overall Feedback,Full,0.9899114871127804
560,Overall Feedback,Full,0.6989275113681139
561,Overall Feedback,Full,0.506206997915719
562,Overall Feedback,Full,0.6077515900021564
563,Overall Feedback,Full,0.9292400249226018
564,Overall Feedback,Full,1.2097359765667905
565,Overall Feedback,Full,0.7189258044936155
566,Overall Feedback,Full,0.9439511461397281
567,Overall Feedback,Full,0.7280463572679646
568,Overall Feedback,Full,1.2043284204191296
569,Overall Feedback,Full,0.26289701076751704
570,Overall Feedback,Full,0.407107811815222
571,Overall Feedback,Full,0.7749380510095145
572,Overall Feedback,Full,0.43489595295697686
573,Overall Feedback,Full,1.0559873764957965
574,Overall Feedback,Full,0.7765843799807279
575,Overall Feedback,Full,0.9119646249882672
576,Overall Feedback,Full,0.7424971311591521
577,Overall Feedback,Full,0.4798200898991896
578,Overall Feedback,Full,0.9464104833135237
579,Overall Feedback,Full,0.49708883002397525
580,Overall Feedback,Full,1.0668440001056394
581,Overall Feedback,Full,1.088886238754401
582,Overall Feedback,Full,0.7818190894341843
583,Overall Feedback,Full,0.7168787914171041
584,Overall Feedback,Full,0.6496001388215377
585,Overall Feedback,Full,0.9030700238226275
586,Overall Feedback,Full,1.058834213376837
587,Overall Feedback,Full,0.9237928644777224
588,Overall Feedback,Full,0.1990263627731461
589,Overall Feedback,Full,1.2497794506559723
590,Overall Feedback,Full,1.5116863432951417
591,Overall Feedback,Full,0.7350474174073911
592,Overall Feedback,Full,0.4081876912555944
593,Overall Feedback,Full,0.47495599443241615
594,Overall Feedback,Full,0.7637160962672215
595,Overall Feedback,Full,0.8041934677127942
596,Overall Feedback,Full,0.6056902555476593
597,Overall Feedback,Full,0.7353428799784336
598,Overall Feedback,Full,0.6882499192644039
599,Overall Feedback,Full,1.3235487804568018
600,Overall Feedback,Full,0.46062068040458054
601,Overall Feedback,Full,0.8378102594618355
602,Overall Feedback,Full,1.0061892000641564
603,Overall Feedback,Full,0.8243026580115552
604,Overall Feedback,Full,0.5408245685672596
605,Overall Feedback,Full,0.1663755852641415
606,Overall Feedback,Full,0.5707275538468154
607,Overall Feedback,Full,1.0623568740615479
608,Overall Feedback,Full,0.8564714099405136
609,Overall Feedback,Full,1.356039445672598
610,Overall Feedback,Full,1.0643086609531456
611,Overall Feedback,Full,0.7846965414369346
612,Overall Feedback,Full,0.23803485891673526
613,Overall Feedback,Full,1.3262316869526456
614,Overall Feedback,Full,1.2600626271897242
615,Overall Feedback,Full,0.5751575012447118
616,Overall Feedback,Full,0.7521921939919157
617,Overall Feedback,Full,0.6410989329005635
618,Overall Feedback,Full,0.6433673814198897
619,Overall Feedback,Full,0.7168424485808716
620,Overall Feedback,Full,1.4474287685383862
621,Overall Feedback,Full,0.8334583519676424
622,Overall Feedback,Full,1.2474892171397198
623,Overall Feedback,Full,0.8791737566382287
624,Overall Feedback,Full,0.8402479723791453
625,Overall Feedback,Full,0.9264694072633506
626,Overall Feedback,Full,0.516572666485085
627,Overall Feedback,Full,0.33745967426815254
628,Overall Feedback,Full,0.47866163841804593
629,Overall Feedback,Full,1.1649026848926272
630,Overall Feedback,Full,0.6963535447845514
631,Overall Feedback,Full,1.2304340039536976
632,Overall Feedback,Full,0.4909020711531203
633,Overall Feedback,Full,0.7625534074119761
634,Overall Feedback,Full,0.9325898464655733
635,Overall Feedback,Full,1.422811770730082
636,Overall Feedback,Full,0.6779593481585207
637,Overall Feedback,Full,0.8197566327804168
638,Overall Feedback,Full,0.7908708422606152
