draw,effect,level,value
56,Feedback,Full,0.9785498794572826
57,Feedback,Full,0.9606274542270499
58,Feedback,Full,2.976947700701658
59,Feedback,Full,0.408627791284833
60,Feedback,Full,-0.1672055438522498
61,Feedback,Full,1.415858336730728
62,Feedback,Full,0.7065108626377301
63,Feedback,Full,1.631289313723566
64,Feedback,Full,0.7864271517191818
65,Feedback,Full,-47.110974399476305
66,Feedback,Full,1.2043884962037803
67,Feedback,Full,2.3095260273921205
68,Feedback,Full,0.9095846955973305
69,Feedback,Full,1.6253721093249467
70,Feedback,Full,1.596374874236865
71,Feedback,Full,1.1913197428781874
72,Feedback,Full,2.8730480668391394
73,Feedback,Full,-1.1025203320255386
74,Feedback,Full,1.266133237282962
75,Feedback,Full,1.1429252018544924
76,Feedback,Full,-0.26783376538711606
77,Feedback,Full,-0.9242763252478259
78,Feedback,Full,0.48016035621007197
79,Feedback,Full,1.081414611407872
80,Feedback,Full,0.879717322546742
81,Feedback,Full,-0.1320101553874968
82,Feedback,Full,1.4213584678778295
83,Feedback,Full,-0.3063163022262198
84,Feedback,Full,0.31714102184883197
85,Feedback,Full,0.0777699466407683
86,Feedback,Full,2.00800229196008
87,Feedback,Full,2.619345196164633
88,Feedback,Full,1.0234662641720715
89,Feedback,Full,0.4322758447147518
90,Feedback,Full,0.3659661671693008
91,Feedback,Full,5.244501757392669
92,Feedback,Full,-1.0427322173222093
93,Feedback,Full,3.611679336471583
94,Feedback,Full,0.4802954560348711
95,Feedback,Full,0.6533134464442534
96,Feedback,Full,0.42367323486810954
97,Feedback,Full,4.7535004151950835
98,Feedback,Full,0.23492267392043412
99,Feedback,Full,1.5375372633837912
100,Feedback,Full,0.8619868922712589
101,Feedback,Full,0.4244194331387461
102,Feedback,Full,1.4182191871420793
103,Feedback,Full,0.7775017647490627
104,Feedback,Full,1.1401548320165542
105,Feedback,Full,2.8514810263760215
106,Feedback,Full,-0.30159843218011956
107,Feedback,Full,2.1533446714603683
108,Feedback,Full,0.46995424821534576
109,Feedback,Full,0.8384591213768239
110,Feedback,Full,10.364884618058323
111,Feedback,Full,0.7218814027398548
112,Feedback,Full,0.5444798304063647
113,Feedback,Full,0.031957037862753244
114,Feedback,Full,-1.229280669109955
115,Feedback,Full,0.04449138870165319
116,Feedback,Full,0.42196625394732973
117,Feedback,Full,2.38954113059484
118,Feedback,Full,1.508543393676199
119,Feedback,Full,0.6010496190385034
120,Feedback,Full,0.9873467061457631
121,Feedback,Full,0.7645359635208958
122,Feedback,Full,1.379980129772447
123,Feedback,Full,0.539064521125091
124,Feedback,Full,-0.31314436364393583
125,Feedback,Full,2.163299086395701
126,Feedback,Full,5.085502524836698
127,Feedback,Full,0.8856987527014495
128,Feedback,Full,3.3702851854320746
129,Feedback,Full,2.045460041289589
130,Feedback,Full,-1.1894362296404608
131,Feedback,Full,0.6050605267470491
132,Feedback,Full,1.2454084863127073
133,Feedback,Full,1.1795746589438951
134,Feedback,Full,1.9608953504312816
135,Feedback,Full,0.7792661100904886
136,Feedback,Full,6.269543350052181
137,Feedback,Full,1.1074942923329156
138,Feedback,Full,0.5670242987057186
139,Feedback,Full,0.9602193857974181
140,Feedback,Full,0.8827398070921106
141,Feedback,Full,-0.1931654114594491
142,Feedback,Full,-46.342134763032746
143,Feedback,Full,0.7765717614909621
144,Feedback,Full,5.162998851249511
145,Feedback,Full,0.2965135029203433
146,Feedback,Full,-5.272739699971392
147,Feedback,Full,2.9210170277072556
148,Feedback,Full,-1.932022421521486
149,Feedback,Full,0.8565768495831273
150,Feedback,Full,0.5942897818605833
151,Feedback,Full,0.5038506006737187
152,Feedback,Full,3.658996038428335
153,Feedback,Full,1.6670997783486714
154,Feedback,Full,0.37466158114513304
155,Feedback,Full,4.3069076655290885
156,Feedback,Full,0.6495666645692101
157,Feedback,Full,0.6731042645544038
158,Feedback,Full,0.293542235042981
159,Feedback,Full,0.0011719765341307467
160,Feedback,Full,0.5228546565944028
161,Feedback,Full,0.42487556953884015
162,Feedback,Full,0.7190213247351714
163,Feedback,Full,0.37353996131975403
164,Feedback,Full,1.5747363226242292
165,Feedback,Full,0.8879945446687613
166,Feedback,Full,0.708017350771973
167,Feedback,Full,-0.24987457328333026
168,Feedback,Full,0.6222083474571259
169,Feedback,Full,0.8110914879415614
170,Feedback,Full,-2.3462209495748563
171,Feedback,Full,0.6616616714439693
172,Feedback,Full,0.9410379778373773
173,Feedback,Full,0.36661466456611447
174,Feedback,Full,1.3641607811711656
175,Feedback,Full,0.8640155846445111
176,Feedback,Full,-0.003420103313593494
177,Feedback,Full,-0.44972514229440225
178,Feedback,Full,0.30935462683030635
179,Feedback,Full,-2.6460727167018567
180,Feedback,Full,0.25922348114118793
181,Feedback,Full,0.21181793343457334
182,Feedback,Full,1.9350476845997215
183,Feedback,Full,7.8748259724948975
184,Feedback,Full,0.8832600161109471
185,Feedback,Full,0.24444279470186442
186,Feedback,Full,3.1943151948620963
187,Feedback,Full,-0.25855560000365463
188,Feedback,Full,1.2639100271673773
189,Feedback,Full,1.067291906927871
190,Feedback,Full,-0.3567097715227591
191,Feedback,Full,0.5402182831414897
192,Feedback,Full,0.026937080237828013
193,Feedback,Full,-0.6100763090593753
194,Feedback,Full,-0.015107067455765174
195,Feedback,Full,0.8877236029127434
196,Feedback,Full,0.7666684713578145
197,Feedback,Full,3.6771397903751395
198,Feedback,Full,1.5905232465183696
199,Feedback,Full,0.3082977826745351
200,Feedback,Full,0.7169557380672628
201,Feedback,Full,0.914636114389895
202,Feedback,Full,0.46108306035207375
203,Feedback,Full,2.243951092160069
204,Feedback,Full,3.0461771102814037
205,Feedback,Full,1.0440446841434208
206,Feedback,Full,0.5370791457779133
207,Feedback,Full,1.1640586465687524
208,Feedback,Full,-0.02344254175624215
209,Feedback,Full,1.613273843097836
210,Feedback,Full,0.953644948645265
211,Feedback,Full,0.9353554511491341
212,Feedback,Full,6.2186932645647355
213,Feedback,Full,-0.00466465511524011
214,Feedback,Full,-2.3485472910493854
215,Feedback,Full,0.6116713308170636
216,Feedback,Full,0.43771351816083026
217,Feedback,Full,1.3864414215642453
218,Feedback,Full,0.780330220354178
219,Feedback,Full,0.8591063701435261
220,Feedback,Full,0.6883589714558076
221,Feedback,Full,1.297160576289553
222,Feedback,Full,2.9658835699550647
223,Feedback,Full,0.6530291361139243
224,Feedback,Full,0.9180112820601073
225,Feedback,Full,1.1161579777118689
226,Feedback,Full,-0.042632000849492466
227,Feedback,Full,-1.6974607684106484
228,Feedback,Full,2.7223280091898956
229,Feedback,Full,0.6626831548566203
230,Feedback,Full,1.3950392861330956
231,Feedback,Full,3.875276111761563
232,Feedback,Full,0.6546886986842149
233,Feedback,Full,0.5476183829782265
234,Feedback,Full,1.1926877004613434
235,Feedback,Full,0.442126087880256
236,Feedback,Full,1.972252851075576
237,Feedback,Full,1.0716007132710643
238,Feedback,Full,0.07646959518327696
239,Feedback,Full,0.8161279491122947
240,Feedback,Full,-1.0966757649462155
241,Feedback,Full,1.2558964123223164
242,Feedback,Full,0.9323938655829518
243,Feedback,Full,0.9706809907436558
244,Feedback,Full,0.7174567881528695
245,Feedback,Full,0.8298761317211436
246,Feedback,Full,1.5716878075151244
247,Feedback,Full,0.17204438353472373
248,Feedback,Full,1.0308977973222742
249,Feedback,Full,1.030085856425954
250,Feedback,Full,0.9070279777731749
251,Feedback,Full,-0.2517251317037687
252,Feedback,Full,2.2624214078681653
253,Feedback,Full,0.8645721130405273
254,Feedback,Full,1.4201193451869984
255,Feedback,Full,0.20606476733533044
256,Feedback,Full,0.43341308795733713
257,Feedback,Full,0.5608224643358298
258,Feedback,Full,-0.3098207807339024
259,Feedback,Full,3.0912280640889374
260,Feedback,Full,3.8169432168515427
261,Feedback,Full,1.6734423709297304
262,Feedback,Full,0.3890592227795399
263,Feedback,Full,0.6866286163952506
264,Feedback,Full,0.1879754007130486
265,Feedback,Full,1.4222832858956262
266,Feedback,Full,-0.021707912728415032
267,Feedback,Full,0.801738621512538
268,Feedback,Full,-0.5208732612607143
269,Feedback,Full,0.7417781871512794
270,Feedback,Full,-54.471449089277
271,Feedback,Full,1361.5718989771674
272,Feedback,Full,0.3276008077678817
273,Feedback,Full,0.8348844529893831
274,Feedback,Full,2.611145781954822
275,Feedback,Full,2.06788182254604
276,Feedback,Full,6.922326878814528
277,Feedback,Full,2.7080840247131346
278,Feedback,Full,-0.5132481644188674
279,Feedback,Full,1.5173366183462755
280,Feedback,Full,1.2596967927525575
281,Feedback,Full,-7.372303986093461
282,Feedback,Full,0.9069422013912274
283,Feedback,Full,0.8010300495250383
284,Feedback,Full,-3.380401557627205
285,Feedback,Full,0.6213059087861562
286,Feedback,Full,-0.04918590621521057
287,Feedback,Full,0.9885856218449844
288,Feedback,Full,0.4988523594014366
289,Feedback,Full,1.141678981041145
290,Feedback,Full,-0.3132612257820696
291,Feedback,Full,-0.12850923696158195
292,Feedback,Full,0.9074009993157606
293,Feedback,Full,0.1867042151139672
294,Feedback,Full,0.6672955262101371
295,Feedback,Full,1.124943564318513
296,Feedback,Full,-2.6427452149555024
297,Feedback,Full,0.37733140941234605
298,Feedback,Full,-0.32171385913328115
299,Feedback,Full,2.0747038500180586
300,Feedback,Full,-0.03882878045360642
301,Feedback,Full,0.8265936441380003
302,Feedback,Full,-5.9878674071639715
303,Feedback,Full,1.3045387771538557
304,Feedback,Full,1.9885642318966699
305,Feedback,Full,0.41207341753698823
306,Feedback,Full,0.25588923113337
307,Feedback,Full,0.6455485114259344
308,Feedback,Full,0.5901451719977093
309,Feedback,Full,0.5598259416087029
310,Feedback,Full,0.4609014972932768
311,Feedback,Full,1.210917446982925
312,Feedback,Full,1.1012924325617448
313,Feedback,Full,0.47704045646957294
314,Feedback,Full,-3.6844575504311927
315,Feedback,Full,-0.7183147998736691
316,Feedback,Full,6.578766459162028
317,Feedback,Full,0.9503031304871118
318,Feedback,Full,0.8232530896561112
319,Feedback,Full,1.0008476911084192
320,Feedback,Full,0.014481974627327534
321,Feedback,Full,0.23001375913906247
322,Feedback,Full,2.0986516577060557
323,Feedback,Full,1.1642742172539005
324,Feedback,Full,11.938126750917968
325,Feedback,Full,-1.1273246310118643
326,Feedback,Full,-4.180567943094618
327,Feedback,Full,-0.3349879713270385
328,Feedback,Full,2.241519717786392
329,Feedback,Full,3.658818657190149
330,Feedback,Full,-0.7666933807532949
331,Feedback,Full,0.04993140795291214
332,Feedback,Full,2.3701182493893977
333,Feedback,Full,2.0144236603880836
334,Feedback,Full,1.153421070994613
335,Feedback,Full,1.0477593328281325
336,Feedback,Full,0.5591372118059967
337,Feedback,Full,0.304185440499005
338,Feedback,Full,1.3491643393444905
339,Feedback,Full,1.0554257567199579
340,Feedback,Full,1.3065599210390468
341,Feedback,Full,1.2143012106886826
342,Feedback,Full,2.320807571499863
343,Feedback,Full,0.33465070669024277
344,Feedback,Full,0.18040923623604568
345,Feedback,Full,0.9365778266144764
346,Feedback,Full,1.893095171929856
347,Feedback,Full,0.44155990170596443
348,Feedback,Full,0.81540699146989
349,Feedback,Full,0.384938646694624
350,Feedback,Full,1.1949816372980675
351,Feedback,Full,1.5489343635559363
352,Feedback,Full,-0.3057931265916587
353,Feedback,Full,1.1166152212551719
354,Feedback,Full,0.6654604104627709
355,Feedback,Full,0.964839112551902
356,Feedback,Full,1.1261618949098213
357,Feedback,Full,2.9327490787159665
358,Feedback,Full,0.33751220456927994
359,Feedback,Full,0.6436435569894013
360,Feedback,Full,0.33765795454900754
361,Feedback,Full,1.2084043512342195
362,Feedback,Full,-0.35448430971377015
363,Feedback,Full,-0.4417025889273393
364,Feedback,Full,0.6871960504261382
365,Feedback,Full,1.932736932645195
366,Feedback,Full,0.48130995511439467
367,Feedback,Full,0.247473480096819
368,Feedback,Full,-0.5634274005196221
369,Feedback,Full,1.3944083433983587
370,Feedback,Full,-5.330942729226913
371,Feedback,Full,0.6839399097665989
372,Feedback,Full,0.5885282066325778
373,Feedback,Full,2.1650778846652514
374,Feedback,Full,2.0423547165071216
375,Feedback,Full,0.9751757404958062
376,Feedback,Full,-0.06435374970366356
377,Feedback,Full,-2.9085169265551154
378,Feedback,Full,-4.209570108330393
379,Feedback,Full,-0.9344911607267126
380,Feedback,Full,-4.626339993835766
381,Feedback,Full,2.2535418601793356
382,Feedback,Full,0.8768409126001065
383,Feedback,Full,-1.7857448040909185
384,Feedback,Full,-0.38847423319351626
385,Feedback,Full,0.5282582061303847
386,Feedback,Full,0.6381578936718533
387,Feedback,Full,-1.9278889789611606
388,Feedback,Full,-1.1293257815236681
389,Feedback,Full,0.9237780673924286
390,Feedback,Full,1.0690072021782155
391,Feedback,Full,4.120001467396817
392,Feedback,Full,2.387611630923997
393,Feedback,Full,0.4576442246683749
394,Feedback,Full,1.3574663102011937
395,Feedback,Full,-5.72786948528568
396,Feedback,Full,-1.218760773424631
397,Feedback,Full,0.3697621857087211
398,Feedback,Full,2.0289706023258214
399,Feedback,Full,0.6478589330012705
400,Feedback,Full,0.4722618089450326
401,Feedback,Full,0.8410241677245323
402,Feedback,Full,12.015151698552101
403,Feedback,Full,8.347175359920838
404,Feedback,Full,0.49806952350136496
405,Feedback,Full,0.6361752394221085
406,Feedback,Full,2.9728057244703203
407,Feedback,Full,-5.255915250227475
408,Feedback,Full,1.0345532700828837
409,Feedback,Full,0.811729471975196
410,Feedback,Full,0.5297277923260231
411,Feedback,Full,-31.29384210601394
412,Feedback,Full,-10.696728754140821
413,Feedback,Full,-0.3276516016881107
414,Feedback,Full,0.6822126506791231
415,Feedback,Full,0.24228316562097946
416,Feedback,Full,0.15637407152793908
417,Feedback,Full,-0.047962423019013135
418,Feedback,Full,3.667099049891303
419,Feedback,Full,0.8052238343539881
420,Feedback,Full,1.6151218841264297
421,Feedback,Full,0.916017788974873
422,Feedback,Full,-1.5890807735748318
423,Feedback,Full,0.7955781253413573
424,Feedback,Full,0.4399537544286439
425,Feedback,Full,-5.536004831290868
426,Feedback,Full,2.1808189064072696
427,Feedback,Full,2.033783637896558
428,Feedback,Full,2.0163646869379366
429,Feedback,Full,0.3624361873968133
430,Feedback,Full,0.13155062268093914
431,Feedback,Full,0.6956887286337585
432,Feedback,Full,0.06090789353544659
433,Feedback,Full,129.47241380570358
434,Feedback,Full,-1.7892299524725392
435,Feedback,Full,0.2936907569259552
436,Feedback,Full,0.030120213455715184
437,Feedback,Full,0.5761679591745893
438,Feedback,Full,-5.945652580201562
439,Feedback,Full,0.5776421595700766
440,Feedback,Full,0.6431644740096821
441,Feedback,Full,-0.8093525311468472
442,Feedback,Full,1.5109193939165046
443,Feedback,Full,1.1481548112332363
444,Feedback,Full,-27.31661367350508
445,Feedback,Full,1.356246673736246
446,Feedback,Full,1.0539356258395267
447,Feedback,Full,0.8007071219826087
448,Feedback,Full,0.3435345634963861
449,Feedback,Full,-1.0803865939801593
450,Feedback,Full,1.6874754083021852
451,Feedback,Full,1.1676550551033793
452,Feedback,Full,0.46136350725723774
453,Feedback,Full,0.3228800891313024
454,Feedback,Full,0.930865373806562
455,Feedback,Full,0.3199093372462943
456,Feedback,Full,1.7399095030860359
457,Feedback,Full,-0.21004901889334934
458,Feedback,Full,0.8976248778572187
459,Feedback,Full,-2.076010530959079
460,Feedback,Full,-0.2363610970377171
461,Feedback,Full,-0.32489706745351626
462,Feedback,Full,0.05765717205173968
463,Feedback,Full,-0.13783104844628888
464,Feedback,Full,2.0245394676403965
465,Feedback,Full,0.7552112198629566
466,Feedback,Full,-4.589128591374395
467,Feedback,Full,1.7734042908026346
468,Feedback,Full,0.9679273779701808
469,Feedback,Full,0.1251741884218014
470,Feedback,Full,0.9472473987667388
471,Feedback,Full,0.9815753544435163
472,Feedback,Full,0.3548146900339705
473,Feedback,Full,-0.10594084526814586
474,Feedback,Full,5.170587862179856
475,Feedback,Full,0.3789074407694247
476,Feedback,Full,0.5315741506113235
477,Feedback,Full,0.38836539495282313
478,Feedback,Full,0.3672503996340411
479,Feedback,Full,1.0381638711981949
480,Feedback,Full,89.03013017712185
481,Feedback,Full,0.49749100726938833
482,Feedback,Full,1.594388488357877
483,Feedback,Full,0.09782902017464519
484,Feedback,Full,0.6329763490739428
485,Feedback,Full,1.0770220752511517
486,Feedback,Full,0.7006211025396621
487,Feedback,Full,-3.6104902829659986
488,Feedback,Full,-0.3374247705847494
489,Feedback,Full,0.6454026758227078
490,Feedback,Full,16.78281168842557
491,Feedback,Full,1.094072292599583
492,Feedback,Full,0.6767344742027934
493,Feedback,Full,0.8172894367675384
494,Feedback,Full,0.4438413801434019
495,Feedback,Full,1.1889498171199857
496,Feedback,Full,0.27847758444786075
497,Feedback,Full,1.3011822691233157
498,Feedback,Full,1.0983372289458024
499,Feedback,Full,-0.6566985688243578
500,Feedback,Full,0.8998971178054576
501,Feedback,Full,0.5291131842639688
502,Feedback,Full,1.755458858722392
503,Feedback,Full,0.463657229281755
504,Feedback,Full,1.4697068924190413
505,Feedback,Full,1.5864417807193865
506,Feedback,Full,-0.508295934561143
507,Feedback,Full,0.7437955405785607
508,Feedback,Full,1.0413578026503152
509,Feedback,Full,0.6269826075743529
510,Feedback,Full,9.77521866109546
511,Feedback,Full,1.4464125717606662
512,Feedback,Full,0.15165361925314688
513,Feedback,Full,-0.4305271459000567
514,Feedback,Full,0.7524293459015005
515,Feedback,Full,0.8715633450823055
516,Feedback,Full,-2.5652967407114935
517,Feedback,Full,0.8674535862667309
518,Feedback,Full,1.0969134856107783
519,Feedback,Full,0.627608621860199
520,Feedback,Full,4.636403571145163
521,Feedback,Full,1.005628199530581
522,Feedback,Full,4.991756519788675
523,Feedback,Full,1.501260396627727
524,Feedback,Full,-0.4349731281050778
525,Feedback,Full,1.0367450086698635
526,Feedback,Full,0.836455935561029
527,Feedback,Full,-103.281630072135
528,Feedback,Full,-0.01115431507374195
529,Feedback,Full,1.492138175569192
530,Feedback,Full,2.9607033842174015
531,Feedback,Full,0.14179233578851214
532,Feedback,Full,1.5397386134669584
533,Feedback,Full,0.6289974222828204
534,Feedback,Full,7.6303331315515575
535,Feedback,Full,0.7157404595437061
536,Feedback,Full,0.7345864608582824
537,Feedback,Full,1.408249769183505
538,Feedback,Full,-1.6459666167998817
539,Feedback,Full,0.036841106086216685
540,Feedback,Full,4.78347444754885
541,Feedback,Full,-1.8907959880296326
542,Feedback,Full,1.3066505876960886
543,Feedback,Full,1.9170700764847262
544,Feedback,Full,0.7168194737527062
545,Feedback,Full,-0.08723288450719682
546,Feedback,Full,0.9020596517865842
547,Feedback,Full,1.5415133545094928
548,Feedback,Full,0.6126218634437017
549,Feedback,Full,1.6619508338820335
550,Feedback,Full,0.3909328166095516
551,Feedback,Full,1.9900719867841639
552,Feedback,Full,1.0910240414986758
553,Feedback,Full,-0.1397786992567075
554,Feedback,Full,0.18497913468344324
555,Feedback,Full,1.4053158748648582
556,Feedback,Full,1.2280691234266854
557,Feedback,Full,-0.5913918053953852
558,Feedback,Full,0.7814556405436582
559,Feedback,Full,1.630607439248077
560,Feedback,Full,1.3080605006946495
561,Feedback,Full,2.9335433530264625
562,Feedback,Full,0.894420928921126
563,Feedback,Full,0.7602155297295975
564,Feedback,Full,1.5927188224134727
565,Feedback,Full,0.6709169422575856
566,Feedback,Full,0.5141834013475289
567,Feedback,Full,-0.436982124855379
568,Feedback,Full,2.6199450119789605
569,Feedback,Full,-0.5446767959008111
570,Feedback,Full,-0.29470242644471767
571,Feedback,Full,0.7749380510095145
572,Feedback,Full,-0.023631042382293403
573,Feedback,Full,1.0559873764957965
574,Feedback,Full,0.7241749387550447
575,Feedback,Full,0.1259512400949831
576,Feedback,Full,0.882440429298678
577,Feedback,Full,0.7752848331018306
578,Feedback,Full,1.1909423976152316
579,Feedback,Full,-0.1487440601185804
580,Feedback,Full,1.6767015245982806
581,Feedback,Full,1.4124591598955922
582,Feedback,Full,0.06782314242604986
583,Feedback,Full,1.1688531368237358
584,Feedback,Full,3.243042699384439
585,Feedback,Full,0.9030700238226275
586,Feedback,Full,-2.6644394135547924
587,Feedback,Full,1.993750692324798
588,Feedback,Full,-0.009454629378008585
589,Feedback,Full,0.38706110198461513
590,Feedback,Full,-0.8215064568161822
591,Feedback,Full,0.8881733038618136
592,Feedback,Full,0.6731884875959149
593,Feedback,Full,-0.99591777287958
594,Feedback,Full,4.394382436629469
595,Feedback,Full,0.8041934677127942
596,Feedback,Full,0.782720359391108
597,Feedback,Full,24.197490421996637
598,Feedback,Full,0.6852418817153065
599,Feedback,Full,1.3235487804568018
600,Feedback,Full,-6.151117836836485
601,Feedback,Full,0.6417227183169617
602,Feedback,Full,0.5804932309015325
603,Feedback,Full,1.2025625284702057
604,Feedback,Full,3.572801922709881
605,Feedback,Full,0.09473708242118897
606,Feedback,Full,1.4304288290668632
607,Feedback,Full,0.6696507004756771
608,Feedback,Full,1.1565365957212552
609,Feedback,Full,-0.7352259659925611
610,Feedback,Full,0.8997681505955054
611,Feedback,Full,0.33610332282155286
612,Feedback,Full,0.23803485891673526
613,Feedback,Full,1.3262316869526456
614,Feedback,Full,1.2600626271897242
615,Feedback,Full,0.7993481786271899
616,Feedback,Full,2.9787874184696843
617,Feedback,Full,1.1652133892694796
618,Feedback,Full,0.6433673814198897
619,Feedback,Full,0.5963081660007233
620,Feedback,Full,1.666533986463804
621,Feedback,Full,0.1880805632363661
622,Feedback,Full,1.7229260787619902
623,Feedback,Full,2.781914527542328
624,Feedback,Full,0.8402479723791453
625,Feedback,Full,0.4373840492837126
626,Feedback,Full,3.5418675951313823
627,Feedback,Full,-0.5146499545291351
628,Feedback,Full,-5.25660419008871
629,Feedback,Full,1.6235719017145192
630,Feedback,Full,0.5765177561363329
631,Feedback,Full,-2.450548213255514
632,Feedback,Full,0.4909020711531203
633,Feedback,Full,1.313441351467798
634,Feedback,Full,2.872352613494693
635,Feedback,Full,3.445758972498996
636,Feedback,Full,1.8787470186395068
637,Feedback,Full,2.011420804791136
638,Feedback,Full,-0.176941012954487
639,Feedback,Full,0.5586760444860553
640,Feedback,Full,0.6943861692864566
641,Feedback,Full,0.6748887680835692
642,Feedback,Full,1.3739870443700666
643,Feedback,Full,5.203022320916895
644,Feedback,Full,0.2638930703911809
645,Feedback,Full,0.8225430558161914
646,Feedback,Full,0.761556861937696
647,Feedback,Full,1.6936272601760243
648,Feedback,Full,5.434005678374109
649,Feedback,Full,4.717492439841225
650,Feedback,Full,2.1639542306022923
651,Feedback,Full,3.4161415995265343
652,Feedback,Full,0.5899782842664258
653,Feedback,Full,0.8718059224035986
654,Feedback,Full,0.9552724834101614
655,Feedback,Full,2.5529708100253594
656,Feedback,Full,0.7206037456607127
657,Feedback,Full,0.5553845593608409
658,Feedback,Full,0.14429065482242692
659,Feedback,Full,0.7262065555108013
660,Feedback,Full,-0.40187691804686854
661,Feedback,Full,-1.0709659836823489
662,Feedback,Full,-1.7355469127439869
663,Feedback,Full,0.7165444663246425
664,Feedback,Full,-0.6761982982064759
665,Feedback,Full,0.5251240000281242
666,Feedback,Full,0.8968265286868371
667,Feedback,Full,0.8211717364907875
668,Feedback,Full,1.0653117533036374
669,Feedback,Full,1.2010485611019253
670,Feedback,Full,0.5152172019043382
671,Feedback,Full,0.8690344614483781
672,Feedback,Full,0.7422321110800495
673,Feedback,Full,1.0647113904204146
674,Feedback,Full,0.8980283897975633
675,Feedback,Full,1.184196389736601
676,Feedback,Full,2.026927945941008
677,Feedback,Full,-128.17621772442106
678,Feedback,Full,2.0194322926654156
679,Feedback,Full,0.6701336337601436
680,Feedback,Full,0.4759551197296249
681,Feedback,Full,0.08429177318801923
682,Feedback,Full,1.7225991381537367
683,Feedback,Full,2.5732037829891086
684,Feedback,Full,0.9400388846021778
685,Feedback,Full,1.170732786687023
686,Feedback,Full,1.167738336272746
687,Feedback,Full,2.384343911975586
688,Feedback,Full,1.4159142885202405
689,Feedback,Full,1.2547881456496466
690,Feedback,Full,1.4217913455084437
691,Feedback,Full,-0.3842071629184642
692,Feedback,Full,-1.192227282240539
693,Feedback,Full,0.556001491749219
694,Feedback,Full,0.6124252541898368
695,Feedback,Full,1.1454221965799165
696,Feedback,Full,-53.55142157333827
697,Feedback,Full,0.31581697127519237
698,Feedback,Full,0.7835374161222618
699,Feedback,Full,1.539411436748702
700,Feedback,Full,-4.531804605793582
701,Feedback,Full,1.7109914813953842
702,Feedback,Full,-0.36279235503680435
703,Feedback,Full,0.275091659912617
704,Feedback,Full,0.44556798285535826
705,Feedback,Full,1.0630820890117694
706,Feedback,Full,1.6093969992995611
707,Feedback,Full,1.4157086772676648
708,Feedback,Full,0.9842003324244127
709,Feedback,Full,0.8345613537983565
710,Feedback,Full,0.3285200225972963
711,Feedback,Full,0.6534792952566761
712,Feedback,Full,0.9351566866698452
713,Feedback,Full,-2.282829115201164
714,Feedback,Full,-0.6943197366508513
715,Feedback,Full,0.9790786300168287
716,Feedback,Full,1.022324248783455
717,Feedback,Full,1.5986904590545299
718,Feedback,Full,1.3478859104217173
719,Feedback,Full,0.7269754306965178
720,Feedback,Full,1.623994545257725
721,Feedback,Full,0.22263571552896422
722,Feedback,Full,-2.7960468984595734
723,Feedback,Full,0.7219509049610207
724,Feedback,Full,-0.038478195258191836
725,Feedback,Full,-0.6371666843259847
726,Feedback,Full,1.010525292904671
727,Feedback,Full,0.7076116524996207
728,Feedback,Full,0.525061773971343
729,Feedback,Full,5.249172132185
730,Feedback,Full,1.3630757308442172
731,Feedback,Full,0.5919034362790248
732,Feedback,Full,3.9632573232019106
733,Feedback,Full,2.1182749023701475
734,Feedback,Full,-0.46753213612901556
735,Feedback,Full,-0.03894818764818452
736,Feedback,Full,-12.467573960805742
737,Feedback,Full,1.1263744735257488
